,AppID,Name,Peak CCU,Required age,Price,DLC count,Supported languages,Metacritic score,Positive,Negative,sum_column,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Tags,Rank
2105,1966720,Lethal Company,169110,0,9.99,0,['English'],0,110177,1342,111519,472,328,Zeekerss,Zeekerss,"Single-player,Multi-player,Co-op,Online Co-op,Partial Controller Support","Action,Adventure,Indie,Early Access","Early Access,Online Co-Op,Horror,First-Person,Psychological Horror,Exploration,PvE,Co-op,Procedural Generation,Sci-fi,Atmospheric,Survival Horror,Time Management,Action,Aliens,Dungeon Crawler,Action-Adventure,Adventure,Realistic,Perma Death",1
242,578080,PUBG: BATTLEGROUNDS,275374,0,0.0,0,"['English', 'Korean', 'Simplified Chinese', 'French', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Polish', 'Portuguese', 'Russian', 'Turkish', 'Thai', 'Italian', 'Portuguese - Brazil', 'Traditional Chinese', 'Ukrainian']",0,1154655,895978,2050633,21963,7134,"KRAFTON, Inc.","KRAFTON, Inc.","Multi-player,PvP,Online PvP,Stats,Remote Play on Phone,Remote Play on Tablet","Action,Adventure,Free to Play,Massively Multiplayer","Survival,Shooter,Multiplayer,Battle Royale,FPS,PvP,Third-Person Shooter,Action,Online Co-Op,Tactical,Co-op,First-Person,Strategy,Early Access,Competitive,Third Person,Team-Based,Difficult,Simulation,Stealth",2
772,230410,Warframe,60270,17,0.0,16,"['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Polish', 'Portuguese - Brazil', 'Traditional Chinese', 'Turkish', 'Ukrainian']",69,442724,48241,490965,9533,413,Digital Extremes,Digital Extremes,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Remote Play on Phone,Remote Play on Tablet","Action,Free to Play,RPG","Free to Play,Action RPG,RPG,Action,Looter Shooter,Third-Person Shooter,Third Person,Character Customization,Online Co-Op,Massively Multiplayer,Lore-Rich,Co-op,Singleplayer,PvE,Sci-fi,Space,Parkour,Ninja,Shooter,Hack and Slash",3
1262,1086940,Baldur's Gate 3,4340,17,59.99,0,"['English', 'French', 'German', 'Spanish - Spain', 'Polish', 'Russian', 'Simplified Chinese', 'Turkish', 'Portuguese - Brazil']",0,45069,6614,51683,1876,976,Larian Studios,Larian Studios,"Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Steam Cloud","Adventure,RPG,Strategy,Early Access","Early Access,RPG,Choices Matter,Character Customization,Story Rich,CRPG,Co-op Campaign,Fantasy,Romance,Class-Based,Dark Fantasy,PvE,Narration,Stealth,Combat,Crafting,Isometric,Turn-Based Combat,Tutorial,Team-Based",4
2066,2195250,EA SPORTS FC™ 24,52328,0,69.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Simplified Chinese', 'Spanish - Latin America', 'Traditional Chinese', 'Arabic', 'Czech', 'Danish', 'Dutch', 'Norwegian', 'Portuguese - Portugal', 'Russian', 'Swedish', 'Turkish']",0,15458,11278,26736,6667,5884,EA Canada & EA Romania,Electronic Arts,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases,Remote Play Together,HDR available","Simulation,Sports","Sports,Football (Soccer),Controller,PvP,Competitive,e-sports,PvE,Multiplayer,3D,First-Person,Simulation,Realistic,Action,Co-op,Local Co-Op,Local Multiplayer,Family Friendly,Online Co-Op,Singleplayer,Early Access",5
22,1172470,Apex Legends™,235067,0,0.0,2,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Latin America']",88,415524,66608,482132,6388,904,Respawn Entertainment,Electronic Arts,"Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,In-App Purchases","Action,Adventure,Free to Play","Free to Play,Multiplayer,Battle Royale,Shooter,First-Person,FPS,PvP,Action,Hero Shooter,Team-Based,Tactical,Survival,Character Customization,Sci-fi,Funny,Loot,Lore-Rich,Cyberpunk,Co-op,Cinematic",6
1400,271590,Grand Theft Auto V,170527,17,0.0,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Traditional Chinese', 'Japanese', 'Simplified Chinese', 'Spanish - Latin America']",96,1171197,210154,1381351,13650,6274,Rockstar North,Rockstar Games,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Adventure","Open World,Action,Multiplayer,Automobile Sim,Crime,Third Person,First-Person,Shooter,Mature,Adventure,Singleplayer,Third-Person Shooter,Racing,Co-op,Atmospheric,Sandbox,Funny,Great Soundtrack,Comedy,Moddable",7
354,1562700,SANABI,47,0,14.99,0,"['English', 'Korean', 'Simplified Chinese', 'Russian', 'Portuguese - Brazil', 'Japanese', 'Traditional Chinese']",0,792,20,812,138,232,WONDER POTION,NEOWIZ,"Single-player,Partial Controller Support,Steam Cloud","Action,Adventure,Indie,Early Access","Action,Adventure,Action-Adventure,Pixel Graphics,Platformer,2D Platformer,Cyberpunk,2D,Story Rich,Singleplayer,Retro,Indie,Precision Platformer,Side Scroller,Difficult,Early Access,Atmospheric,Linear",8
1527,1313140,Cult of the Lamb,53272,0,24.99,2,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",0,7555,985,8540,322,339,Massive Monster,Devolver Digital,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie,Strategy","Action Roguelike,Cute,Rogue-lite,Dungeon Crawler,Dark Humor,Building,Singleplayer,Funny,Action,Faith,2D,Adventure,Colony Sim,Character Customization,Strategy,Fantasy,Controller,Colorful,Comedy,Third Person",9
1405,1049590,Eternal Return,8521,0,0.0,4,"['English', 'Japanese', 'Simplified Chinese', 'Korean', 'Traditional Chinese', 'French', 'German', 'Spanish - Spain', 'Portuguese', 'Spanish - Latin America', 'Russian', 'Thai', 'Vietnamese', 'Portuguese - Brazil']",0,34056,8199,42255,1422,151,Nimble Neuron,"Kakao Games Europe B.V. (EU,NA,OCE),Nimble Neuron (Excluding EU,NA,OCE)","Multi-player,PvP,Online PvP,Steam Trading Cards,In-App Purchases","Free to Play,Indie,Strategy,Early Access","Free to Play,Anime,MOBA,Survival,Multiplayer,PvP,Top-Down,Crafting,Strategy,Combat,Tactical,Action,3D,Indie,Character Customization,Experimental,Early Access,Point & Click,Sexual Content,MMORPG",10
2191,2073850,THE FINALS,0,0,0.0,0,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Portuguese - Brazil', 'Simplified Chinese', 'Traditional Chinese']",0,0,0,0,0,0,Embark Studios,Embark Studios,"Multi-player,PvP,Online PvP,Cross-Platform Multiplayer,Steam Achievements,In-App Purchases,Partial Controller Support","Action,Free to Play","Action,Free to Play",11
1764,1985820,Call of Duty®: Vanguard,0,18,29.99,10,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Arabic', 'Japanese', 'Korean', 'Polish', 'Portuguese - Brazil', 'Russian', 'Spanish - Latin America', 'Traditional Chinese']",0,96,55,151,0,0,"Sledgehammer Games,Treyarch,High Moon Studios,Raven Software,Beenox,Demonware",Activision,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,In-App Purchases",Action,"Action,Shooter,FPS,First-Person,Military,Zombies,Tactical,PvP,Gun Customization,PvE,Co-op,Gore,Violent,Multiplayer,Online Co-Op,Singleplayer",12
1745,1973530,Limbus Company,0,0,0.0,0,"['English', 'Japanese', 'Korean']",0,0,0,0,0,0,ProjectMoon,ProjectMoon,"Single-player,In-App Purchases","Action,RPG,Strategy","Action,RPG,Strategy",13
2162,2252570,Football Manager 2024,67697,0,59.99,1,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Danish', 'Dutch', 'Greek', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese - Portugal', 'Russian', 'Simplified Chinese', 'Swedish', 'Turkish']",0,4659,671,5330,5105,5942,Sports Interactive,SEGA,"Single-player,Multi-player,Steam Achievements,Steam Cloud","Simulation,Sports,Strategy","Simulation,Sports,Strategy,Football (Soccer),Management,e-sports,Real Time Tactics,3D,2D,Economy,Text-Based,Multiplayer,Singleplayer",14
1129,730,Counter-Strike: Global Offensive,825215,0,0.0,1,"['Czech', 'Danish', 'Dutch', 'English', 'Finnish', 'French', 'German', 'Hungarian', 'Italian', 'Japanese', 'Korean', 'Norwegian', 'Polish', 'Portuguese', 'Portuguese - Brazil', 'Romanian', 'Russian', 'Simplified Chinese', 'Spanish - Spain', 'Swedish', 'Thai', 'Traditional Chinese', 'Turkish', 'Bulgarian', 'Ukrainian', 'Greek', 'Spanish - Latin America', 'Vietnamese']",83,5764420,766677,6531097,30484,6357,"Valve,Hidden Path Entertainment",Valve,"Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Free to Play","FPS,Shooter,Multiplayer,Competitive,Action,Team-Based,e-sports,Tactical,First-Person,PvP,Online Co-Op,Co-op,Strategy,Military,War,Difficult,Trading,Realistic,Fast-Paced,Moddable",15
140,1147560,Skul: The Hero Slayer,1918,0,19.99,1,"['English', 'Japanese', 'Korean', 'Simplified Chinese', 'German', 'French', 'Spanish - Spain', 'Russian', 'Traditional Chinese', 'Portuguese - Brazil', 'Polish']",80,32454,2335,34789,1705,809,SouthPAW Games,NEOWIZ,"Single-player,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Indie","Indie,Action,Action Roguelike,Pixel Graphics,Rogue-lite,2D,Rogue-like,Singleplayer,Platformer,Adventure,Difficult,Hack and Slash,Villain Protagonist,Side Scroller,Metroidvania,Action-Adventure,Fantasy,Story Rich,Cute,Multiplayer",16
1206,985810,GrandChase,0,0,0.0,0,"['English', 'Portuguese - Brazil', 'Korean']",0,0,0,0,0,0,KOG,KOG,"Multi-player,PvP,Co-op,In-App Purchases","Action,Casual,Free to Play","Action,Casual,Free to Play",17
1479,227300,Euro Truck Simulator 2,29161,0,19.99,79,"['English', 'German', 'French', 'Italian', 'Korean', 'Spanish - Spain', 'Simplified Chinese', 'Russian', 'Japanese', 'Portuguese', 'Polish', 'Danish', 'Dutch', 'Finnish', 'Norwegian', 'Swedish', 'Hungarian', 'Czech', 'Romanian', 'Turkish', 'Portuguese - Brazil', 'Bulgarian', 'Greek', 'Ukrainian']",79,548047,15109,563156,6446,1748,SCS Software,SCS Software,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play Together","Indie,Simulation","Transportation,Driving,Simulation,Open World,Automobile Sim,Realistic,Moddable,Relaxing,Immersive Sim,Exploration,Economy,Management,Atmospheric,Multiplayer,Controller,Third Person,Family Friendly,Adventure,Casual,Indie",18
